momentum,low_vol,parkinson_vol,high52,liquidity,train_sharpe,test_sharpe,min_sharpe,train_return,test_return,train_dd,test_dd
0.5,0.1,0.0,0.3,0.1,1.9098025785358768,1.9134430214705267,1.9098025785358768,0.5176765230054314,0.5320926148584155,-0.25458414917229233,-0.21398042340726042
0.6,0.1,0.0,0.3,0.0,1.9701469629012096,1.8896139729988357,1.8896139729988357,0.5412553928159978,0.5362067349463269,-0.25456227825820754,-0.22629011517682573
1.0,0.0,0.0,0.0,0.0,2.1884871129692276,1.881449687888166,1.881449687888166,0.641529872746827,0.5608784111296121,-0.2619293599380005,-0.28762166757822916
0.9,0.0,0.0,0.0,0.1,2.2584239603952825,1.881449687888166,1.881449687888166,0.6663889430280026,0.5608784111296121,-0.2619467843034502,-0.28762166757822916
0.7,0.2,0.0,0.0,0.1,2.0648899547574073,1.8408891669487788,1.8408891669487788,0.5662544280763502,0.5188615026826109,-0.2619148395387153,-0.26527744745682635
0.6,0.0,0.1,0.3,0.0,2.0315303270582943,1.786212284097734,1.786212284097734,0.5620619562460407,0.491078335353353,-0.2545607422271994,-0.22894976017531787
0.6,0.2,0.1,0.0,0.1,1.7918673716107298,1.7799333167482663,1.7799333167482663,0.4091073534694001,0.44964487017850563,-0.2187805177122336,-0.20227990530204898
0.5,0.1,0.4,0.0,0.0,1.7844959639196094,1.7774020817265868,1.7774020817265868,0.3532072835756812,0.3235342558184897,-0.24899722336551622,-0.15484704648085768
0.8,0.0,0.0,0.0,0.2,1.9336642001804112,1.7707431334783592,1.7707431334783592,0.5362801123511678,0.5197648759903561,-0.2798218979606688,-0.28766169492369675
0.6,0.1,0.0,0.2,0.1,2.044897416322531,1.765025605707586,1.765025605707586,0.5636946016021542,0.5046453771035102,-0.254545370298063,-0.2669845884229245
0.6,0.0,0.0,0.3,0.1,1.9862273825265544,1.7615746239432153,1.7615746239432153,0.5683278403392031,0.5151485412679677,-0.3025558056062774,-0.2684312937039187
0.5,0.0,0.0,0.4,0.1,1.920951540135259,1.7585690311881594,1.7585690311881594,0.5511197446275427,0.4974088368573668,-0.30253917847127276,-0.2425768602758902
0.8,0.2,0.0,0.0,0.0,2.0901707217047227,1.7570506587605472,1.7570506587605472,0.5705861818028062,0.4923362878651747,-0.2618993950492484,-0.27060849554649
0.6,0.2,0.0,0.2,0.0,2.0649131215332663,1.7536151545999596,1.7536151545999596,0.5333896986256268,0.4549296741992801,-0.2376727053939376,-0.2192008017472331
0.7,0.1,0.0,0.1,0.1,2.116309004162227,1.7522218122135342,1.7522218122135342,0.6003140559344426,0.49259320709621157,-0.26192432042272584,-0.2728114359239998
0.7,0.1,0.1,0.0,0.1,2.004470598315815,1.751583532528598,1.751583532528598,0.5431197531224567,0.47284434941494236,-0.2619000423606743,-0.2652796586279309
0.8,0.0,0.1,0.1,0.0,2.2124653894521464,1.7419873715641598,1.7419873715641598,0.634993596294867,0.4872604592025471,-0.2619211091917498,-0.27269052103203917
0.7,0.2,0.0,0.1,0.0,1.9748119791663001,1.739265542499624,1.739265542499624,0.5274131150160586,0.46706223037880856,-0.25455859852991336,-0.27324305372042157
0.8,0.1,0.1,0.0,0.0,2.0923049953807986,1.7367941922370487,1.7367941922370487,0.5807123192159371,0.46778666948320335,-0.26192673895482244,-0.26535672152859957
0.8,0.1,0.0,0.1,0.0,2.1490511607752607,1.7365412192911533,1.7365412192911533,0.6120750523092047,0.48775173801655236,-0.26190662266566156,-0.2728114359239998
0.8,0.1,0.0,0.0,0.1,2.1314009737211923,1.7341528518834808,1.7341528518834808,0.6097061448136325,0.48870229293193734,-0.2619117645518051,-0.28118347588629666
0.6,0.2,0.0,0.1,0.1,2.1090309741944737,1.7316403590547804,1.7316403590547804,0.5489340716950268,0.4533150647848423,-0.23735032801252498,-0.2509062703540753
0.9,0.0,0.0,0.1,0.0,2.1263033049256337,1.7258380473188701,1.7258380473188701,0.6104305002587416,0.497685302167052,-0.26190101841458346,-0.2834499502761252
0.5,0.2,0.3,0.0,0.0,1.7255348249575126,1.7389512483939937,1.7255348249575126,0.34100016875659356,0.32061121624794797,-0.24903510572920684,-0.16751492874313523
0.7,0.1,0.0,0.2,0.0,2.1773061254852673,1.72490523146259,1.72490523146259,0.6137079266732215,0.49559384754164837,-0.2619111705118611,-0.279668476045947
0.5,0.1,0.0,0.2,0.2,1.8207393212951435,1.7245594190900158,1.7245594190900158,0.4506013467758774,0.4776853229985689,-0.23733606325147294,-0.22667237861417244
0.7,0.0,0.1,0.2,0.0,2.109400799285527,1.7181278707541596,1.7181278707541596,0.5953346922376741,0.46219557527581734,-0.26189713889200195,-0.25982477783156155
